customer_id,historical_on_time_ratio,avg_delay_days,repayment_consistency,partial_payment_frequency,prior_delayed_invoice_count,payment_after_followup_count,total_invoices,deterioration_trend,transaction_success_failure_pattern,invoice_acknowledgement_encoded,behavior_class
CUST-BEH-00035,0.5623,21.86,0.2726,0.2354,22,12,34,0.375,0.6927,1,5
CUST-BEH-00036,0.4106,11.91,0.9803,0.1937,4,1,18,0.0839,0.1848,0,1
CUST-BEH-00037,0.4636,19.58,0.249,0.2816,9,6,16,0.2584,0.5195,0,5
CUST-BEH-00038,0.5305,8.64,0.4744,0.197,3,12,45,0.3367,0.366,0,1
CUST-BEH-00039,0.5908,36.02,0.6339,0.222,2,0,22,-0.3869,0.0935,0,4
CUST-BEH-00040,0.4279,26.42,0.8295,0.2995,6,18,37,-0.1544,0.5289,2,1
CUST-BEH-00041,0.7183,24.57,0.1105,0.5292,5,0,12,-0.2488,0.3825,0,3
CUST-BEH-00042,0.4693,5.23,0.7663,0.161,1,1,4,0.3953,0.4409,1,1
CUST-BEH-00043,0.6307,2.32,0.7332,0.1244,20,15,39,-0.2965,0.2418,1,1
CUST-BEH-00044,0.536,3.12,0.5039,0.2024,28,14,59,0.4692,0.2844,1,1
CUST-BEH-00045,0.6953,31.29,0.5738,0.3618,17,22,65,-0.3677,0.1648,1,4
CUST-BEH-00046,0.939,1.79,0.9169,0.3511,3,20,69,-0.0948,0.0711,0,0
CUST-BEH-00047,0.9503,3.91,0.5792,0.405,4,1,22,-0.0268,0.187,0,0
CUST-BEH-00048,0.7336,30.36,0.7081,0.0523,3,6,14,0.2945,0.4951,0,4
CUST-BEH-00049,0.5629,3.3,0.4692,0.2371,5,5,28,0.068,0.2009,0,1
CUST-BEH-00050,0.6037,7.78,0.6869,0.0629,17,9,35,0.4047,0.0614,0,1
CUST-BEH-00051,0.797,1.39,0.9135,0.1879,4,5,11,0.0322,0.057,0,1
CUST-BEH-00052,0.6145,11.71,0.476,0.2144,3,8,20,-0.0564,0.0203,0,1
CUST-BEH-00053,0.3993,7.41,0.563,0.3936,2,2,15,-0.0634,0.2082,0,1
CUST-BEH-00054,0.5419,16.37,0.8568,0.1166,6,8,42,0.1377,0.1132,1,1
CUST-BEH-00055,0.4337,12.0,0.7295,0.1071,0,9,26,0.0822,0.2611,0,1
CUST-BEH-00056,0.5476,30.14,0.6224,0.598,26,7,78,0.116,0.0858,3,3
CUST-BEH-00057,0.5575,6.96,0.2058,0.2317,17,9,41,-0.2707,0.2125,0,1
CUST-BEH-00058,0.7264,22.73,0.5503,0.1941,2,12,25,0.0015,0.0664,0,1
CUST-BEH-00059,0.4488,8.99,0.6927,0.3449,11,6,27,0.2543,0.0724,2,1
CUST-BEH-00060,0.6446,19.8,0.8299,0.3588,14,12,26,0.0091,0.165,0,1
CUST-BEH-00061,0.938,3.97,0.6912,0.3623,25,18,68,-0.0035,0.2337,0,0
CUST-BEH-00062,0.9223,6.68,0.3595,0.2367,31,3,67,-0.336,0.2335,0,1
CUST-BEH-00063,0.6295,11.96,0.6952,0.2038,22,10,69,0.2346,0.1857,0,1
CUST-BEH-00064,0.6602,55.54,0.4732,0.7091,11,32,61,0.4165,0.1681,3,2
CUST-BEH-00065,0.8577,7.27,0.6338,0.126,1,2,4,0.4254,0.0221,1,1
CUST-BEH-00066,0.5168,26.53,0.4081,0.1522,19,15,39,0.1887,0.62,1,5
CUST-BEH-00067,0.7871,15.11,0.5553,0.1556,32,3,60,0.1894,0.1846,0,1
CUST-BEH-00068,0.4315,30.05,0.7933,0.2413,5,12,64,-0.2984,0.023,0,4
CUST-BEH-00069,0.8958,2.67,0.6861,0.376,5,4,36,0.1295,0.2832,2,0
CUST-BEH-00070,0.325,19.27,0.496,0.5763,6,21,44,0.4296,0.196,0,3
CUST-BEH-00071,0.94,0.67,0.8974,0.0503,8,9,18,0.1412,0.1053,1,0
CUST-BEH-00072,0.9593,0.55,0.4132,0.4134,4,0,13,-0.1425,0.1031,0,0
CUST-BEH-00073,0.6965,31.28,0.8422,0.154,11,10,30,0.0752,0.2999,0,4
CUST-BEH-00074,0.4944,16.08,0.3125,0.2737,6,7,17,0.3446,0.3976,0,5
CUST-BEH-00075,0.5971,8.36,0.538,0.61,4,12,67,0.0963,0.2741,1,3
CUST-BEH-00076,0.5757,14.2,0.6808,0.0742,12,4,31,0.2808,0.1715,0,1
CUST-BEH-00077,0.7373,2.33,0.2146,0.4632,12,6,24,-0.2555,0.0873,1,1
CUST-BEH-00078,0.6523,15.24,0.6776,0.7411,26,25,55,-0.3965,0.1414,0,3
CUST-BEH-00079,0.5525,13.14,0.595,0.0827,3,3,45,0.269,0.2187,0,1
CUST-BEH-00080,0.2249,2.26,0.5302,0.2009,29,19,58,-0.3847,0.2083,2,4
CUST-BEH-00081,0.5013,37.51,0.3741,0.2498,40,13,69,0.3977,0.1906,0,4
CUST-BEH-00082,0.7384,9.68,0.4343,0.3943,27,38,77,0.0496,0.3268,0,1
CUST-BEH-00083,0.9182,3.6,0.6344,0.4605,6,6,12,0.1643,0.3418,1,0
CUST-BEH-00084,0.6833,5.07,0.2926,0.064,5,1,35,0.4733,0.1851,1,1
CUST-BEH-00085,0.686,16.54,0.9059,0.1488,4,10,53,0.3511,0.2206,0,1
CUST-BEH-00086,0.6169,25.83,0.8654,0.1206,4,1,43,0.1657,0.2719,0,1
CUST-BEH-00087,0.5803,14.28,0.7971,0.1917,17,7,69,0.1524,0.0312,2,1
CUST-BEH-00088,0.5341,5.93,0.308,0.2361,0,3,7,0.4349,0.2128,1,1
CUST-BEH-00089,0.8609,2.86,0.6609,0.2567,32,36,74,-0.148,0.2397,0,0
CUST-BEH-00090,0.3708,34.68,0.5427,0.2376,2,1,5,-0.3793,0.2157,0,4
CUST-BEH-00091,0.3225,23.99,0.4418,0.3842,0,3,39,-0.0082,0.3785,0,4
CUST-BEH-00092,0.5572,21.34,0.4654,0.2901,6,5,14,0.4385,0.5702,0,5
CUST-BEH-00093,0.6486,7.31,0.4893,0.3438,1,2,5,0.3256,0.156,3,1
CUST-BEH-00094,0.5772,24.13,0.24,0.3624,17,18,41,0.2878,0.3603,0,5
CUST-BEH-00095,0.5749,4.81,0.6438,0.4059,1,2,7,-0.1978,0.0727,0,3
CUST-BEH-00096,0.9523,3.01,0.4838,0.1401,17,17,37,0.4425,0.1107,0,0
CUST-BEH-00097,0.6948,13.62,0.6098,0.0298,17,5,30,0.4182,0.5155,0,1
CUST-BEH-00098,0.9354,2.9,0.3416,0.3437,8,7,60,-0.1364,0.1069,0,0
CUST-BEH-00099,0.6314,36.83,0.343,0.4682,9,13,26,0.2425,0.1199,0,2
CUST-BEH-00100,0.4392,13.18,0.7573,0.245,4,11,25,-0.1853,0.0668,0,1
CUST-BEH-00101,0.9727,0.82,0.8079,0.1093,24,22,66,0.0677,0.2073,0,0
CUST-BEH-00102,0.6144,19.5,0.3782,0.2107,16,16,39,0.3146,0.6721,3,5
CUST-BEH-00103,0.6279,11.04,0.47,0.3024,18,5,68,0.4662,0.1954,0,1
CUST-BEH-00104,0.8772,16.01,0.3824,0.03,23,23,64,-0.2773,0.2035,1,1
CUST-BEH-00105,0.3632,5.09,0.6636,0.3043,25,21,52,-0.155,0.384,0,1
CUST-BEH-00106,0.6318,26.32,0.7287,0.1615,2,1,4,-0.3607,0.0577,0,1
CUST-BEH-00107,0.7166,7.46,0.5468,0.2896,16,13,43,0.0424,0.1726,0,1
CUST-BEH-00108,0.4683,10.07,0.5003,0.1333,13,22,55,-0.1607,0.1608,1,1
CUST-BEH-00109,0.9299,5.94,0.7504,0.0437,36,4,74,-0.0895,0.106,1,1
CUST-BEH-00110,0.5055,6.06,0.7565,0.1175,2,22,75,0.219,0.2792,0,1
CUST-BEH-00111,0.9864,1.44,0.5485,0.1444,9,2,19,0.3489,0.0423,3,0
CUST-BEH-00112,0.5967,26.01,0.7876,0.4865,27,5,46,0.4761,0.0537,0,3
CUST-BEH-00113,0.5801,13.25,0.3235,0.0254,0,3,14,0.4606,0.107,0,1
CUST-BEH-00114,0.5372,19.07,0.7286,0.6015,33,28,67,0.2535,0.0812,0,3
CUST-BEH-00115,0.3297,7.1,0.8547,0.5527,14,11,41,0.3286,0.4982,0,3
CUST-BEH-00116,0.9345,3.51,0.2764,0.6986,0,0,49,-0.1988,0.1189,0,0
CUST-BEH-00117,0.2231,10.93,0.702,0.1247,1,1,49,-0.2048,0.1187,0,4
CUST-BEH-00118,0.6985,12.21,0.5581,0.1317,2,4,11,-0.0047,0.0898,0,1
CUST-BEH-00119,0.9592,2.29,0.5956,0.4231,14,16,39,-0.3274,0.2397,0,0
CUST-BEH-00120,0.4175,12.51,0.5457,0.2531,2,14,61,0.1807,0.1403,3,1
CUST-BEH-00121,0.6264,31.72,0.7147,0.2084,32,35,75,0.1492,0.1607,2,4
CUST-BEH-00122,0.4357,13.17,0.2195,0.3745,35,30,77,0.1931,0.482,1,5
CUST-BEH-00123,0.5916,8.35,0.5242,0.1514,9,2,26,0.4555,0.1344,1,1
CUST-BEH-00124,0.9034,1.34,0.841,0.2925,25,1,59,0.1139,0.1916,0,0
CUST-BEH-00125,0.4064,6.36,0.4441,0.3278,22,10,40,0.3741,0.4427,0,1
CUST-BEH-00126,0.7058,3.54,0.2404,0.2172,3,33,78,-0.316,0.26,0,1
CUST-BEH-00127,0.8298,9.62,0.6077,0.5798,0,4,33,-0.1386,0.1667,0,1
CUST-BEH-00128,0.5151,8.05,0.7522,0.2012,8,18,43,0.4343,0.2003,1,1
CUST-BEH-00129,0.9296,3.87,0.608,0.2312,9,9,18,-0.0482,0.1776,3,0
CUST-BEH-00130,0.3699,2.2,0.4235,0.283,14,6,30,0.3075,0.1605,2,1
CUST-BEH-00131,0.3603,11.41,0.8632,0.4746,37,29,76,-0.186,0.1491,0,3
CUST-BEH-00132,0.2609,6.42,0.6078,0.235,9,1,54,0.1468,0.1429,0,4
CUST-BEH-00133,0.6412,7.03,0.1896,0.2379,5,5,10,0.4166,0.1062,0,2
CUST-BEH-00134,0.4053,26.25,0.4097,0.3132,18,19,47,0.2915,0.5296,0,5
CUST-BEH-00135,0.4764,16.37,0.7035,0.2664,2,6,18,0.3175,0.3452,0,1
CUST-BEH-00136,0.7612,17.38,0.5904,0.3109,7,5,32,0.0163,0.2087,1,1
CUST-BEH-00137,0.8077,5.06,0.7247,0.3469,24,1,56,0.0377,0.2131,2,1
CUST-BEH-00138,0.6126,9.3,0.9277,0.1213,13,3,48,0.0601,0.3962,0,1
CUST-BEH-00139,0.5052,10.27,0.7806,0.074,1,12,42,-0.3132,0.1712,0,1
CUST-BEH-00140,0.9187,1.53,0.8118,0.1923,34,10,63,0.4214,0.1535,2,0
CUST-BEH-00141,0.342,5.62,0.2979,0.3339,0,3,9,0.2772,0.0815,0,4
CUST-BEH-00142,0.5546,21.59,0.3659,0.2417,0,18,61,0.4346,0.1609,1,1
CUST-BEH-00143,0.8968,4.27,0.5637,0.3468,46,1,79,0.2212,0.1271,0,0
CUST-BEH-00144,0.6111,15.85,0.4539,0.338,9,8,24,0.2554,0.5086,0,5
CUST-BEH-00145,0.6265,18.79,0.5121,0.1057,0,1,5,0.1261,0.3519,0,1
CUST-BEH-00146,0.491,4.12,0.6477,0.7058,20,8,56,0.1695,0.1649,0,3
CUST-BEH-00147,0.6365,48.64,0.8233,0.5563,1,1,8,-0.187,0.3544,1,3
CUST-BEH-00148,0.5293,26.19,0.6908,0.3382,25,28,74,0.3193,0.231,0,1
CUST-BEH-00149,0.3233,7.43,0.4089,0.6107,22,7,45,-0.3883,0.1644,0,3
CUST-BEH-00150,0.7968,12.22,0.4776,0.3153,18,21,73,-0.1257,0.1441,1,1
CUST-BEH-00151,0.6518,30.21,0.8711,0.0967,33,16,70,-0.187,0.2425,0,4
CUST-BEH-00152,0.459,30.8,0.5452,0.1887,21,15,39,-0.2747,0.1714,0,4
CUST-BEH-00153,0.3836,32.23,0.7502,0.5289,19,17,71,-0.2924,0.2187,0,3
CUST-BEH-00154,0.2561,6.18,0.4779,0.1043,2,0,4,-0.0682,0.1404,0,4
CUST-BEH-00155,0.6011,14.2,0.4182,0.3498,34,27,58,0.4209,0.5807,0,5
CUST-BEH-00156,0.4838,15.44,0.3047,0.1529,7,4,17,0.446,0.059,0,1
CUST-BEH-00157,0.4727,4.88,0.4322,0.2787,2,7,30,-0.0326,0.3058,0,1
CUST-BEH-00158,0.9629,3.29,0.8212,0.2085,23,9,59,-0.1851,0.3969,0,0
CUST-BEH-00159,0.4933,7.13,0.2547,0.4278,5,2,36,-0.0163,0.4858,0,3
CUST-BEH-00160,0.9357,17.75,0.518,0.1171,1,14,42,0.2838,0.2791,0,1
CUST-BEH-00161,0.934,2.76,0.617,0.3472,0,1,4,0.05,0.039,0,0
CUST-BEH-00162,0.5632,15.72,0.3665,0.2454,8,7,18,0.3221,0.6037,0,5
CUST-BEH-00163,0.6042,22.5,0.6621,0.1585,4,5,13,0.0555,0.1425,0,1
CUST-BEH-00164,0.5636,19.17,0.3818,0.3656,38,32,77,0.2158,0.3544,2,5
CUST-BEH-00165,0.3126,3.99,0.8281,0.2574,4,15,55,0.0194,0.0814,2,4
CUST-BEH-00166,0.593,30.44,0.4352,0.1611,5,3,18,-0.3844,0.2947,0,4
CUST-BEH-00167,0.6886,1.0,0.7729,0.2994,17,13,61,0.4094,0.0695,0,1
CUST-BEH-00168,0.5224,24.31,0.4895,0.169,13,17,38,0.1608,0.4876,1,5
CUST-BEH-00169,0.7432,51.93,0.1156,0.1946,1,9,34,0.4088,0.1605,0,4
CUST-BEH-00170,0.6626,28.23,0.3776,0.4233,2,13,53,-0.2541,0.2905,0,3
CUST-BEH-00171,0.811,16.3,0.7957,0.1912,0,3,7,-0.12,0.1343,0,1
CUST-BEH-00172,0.9328,2.2,0.766,0.1988,9,5,18,0.1567,0.0941,0,0
CUST-BEH-00173,0.4342,7.15,0.4313,0.1622,15,21,43,0.3996,0.2905,0,1
CUST-BEH-00174,0.5302,9.15,0.6954,0.301,0,5,18,0.4531,0.0461,1,1
CUST-BEH-00175,0.6411,12.63,0.6977,0.4425,0,10,75,-0.2774,0.0746,0,3
CUST-BEH-00176,0.4018,22.17,0.3651,0.2801,11,8,25,0.275,0.5038,0,5
CUST-BEH-00177,0.4018,5.47,0.4551,0.3714,9,7,17,0.02,0.3277,0,1
CUST-BEH-00178,0.4206,12.64,0.7473,0.5304,21,24,61,-0.2221,0.1219,1,3
CUST-BEH-00179,0.9016,4.4,0.5154,0.3773,13,17,50,-0.069,0.3344,1,0
CUST-BEH-00180,0.9607,1.32,0.4748,0.0342,15,13,42,-0.1855,0.1166,0,0
CUST-BEH-00181,0.3705,9.15,0.697,0.3998,12,4,49,0.1486,0.1793,1,1
CUST-BEH-00182,0.3923,16.42,0.6358,0.1828,21,1,38,-0.1583,0.105,0,1
CUST-BEH-00183,0.963,2.02,0.5127,0.075,0,0,4,0.0001,0.2271,0,0
CUST-BEH-00184,0.4131,4.24,0.9533,0.1548,15,31,77,0.3426,0.1766,0,1
CUST-BEH-00185,0.5394,3.05,0.5229,0.7899,11,24,73,-0.008,0.0492,0,3
CUST-BEH-00186,0.9428,0.77,0.1349,0.6019,7,12,39,0.0919,0.0888,0,0
CUST-BEH-00187,0.7877,4.73,0.5323,0.2488,33,29,64,0.4939,0.2617,2,1
CUST-BEH-00188,0.8929,18.06,0.4763,0.3164,24,18,41,-0.0425,0.2684,2,1
CUST-BEH-00189,0.8743,5.73,0.7801,0.4191,8,15,49,-0.3443,0.1273,0,1
CUST-BEH-00190,0.5755,20.85,0.2836,0.3144,35,24,60,0.3791,0.3929,0,5
CUST-BEH-00191,0.6247,6.31,0.4208,0.4639,14,23,59,0.3684,0.0447,0,3
CUST-BEH-00192,0.519,9.07,0.6311,0.2393,28,23,52,-0.0821,0.0983,0,1
CUST-BEH-00193,0.8221,2.38,0.7989,0.4965,34,11,65,0.0361,0.3978,0,1
CUST-BEH-00194,0.6997,18.02,0.7066,0.1734,15,24,56,0.3105,0.0942,0,1
CUST-BEH-00195,0.8053,43.96,0.3286,0.4228,0,1,3,-0.0643,0.0467,2,3
CUST-BEH-00196,0.9068,3.47,0.2645,0.0829,2,4,73,-0.2163,0.1638,2,0
CUST-BEH-00197,0.9462,3.73,0.5085,0.2526,14,13,47,0.4161,0.1933,0,0
CUST-BEH-00198,0.5319,13.09,0.6908,0.1012,0,0,12,-0.3738,0.3349,0,1
CUST-BEH-00199,0.5897,0.69,0.2643,0.0704,7,6,53,0.3047,0.1357,1,1
CUST-BEH-00200,0.9378,0.94,0.7715,0.4145,6,7,43,-0.1088,0.6515,0,0
CUST-BEH-00201,0.9776,0.95,0.676,0.1772,24,5,49,-0.1956,0.1914,0,0
CUST-BEH-00202,0.5888,8.76,0.8005,0.1747,15,11,38,-0.3116,0.219,3,1
CUST-BEH-00203,0.2705,15.64,0.3799,0.1925,7,8,26,-0.0263,0.0558,2,4
CUST-BEH-00204,0.7137,32.91,0.7078,0.1056,37,29,77,-0.0529,0.1519,3,4
CUST-BEH-00205,0.6168,18.2,0.3542,0.3171,24,14,40,0.4309,0.5822,1,5
CUST-BEH-00206,0.7831,18.97,0.4075,0.1567,14,7,37,-0.0756,0.2959,0,1
CUST-BEH-00207,0.41,16.38,0.477,0.359,1,1,3,0.408,0.5817,2,5
CUST-BEH-00208,0.8916,3.59,0.6252,0.2643,1,0,18,0.0117,0.2962,0,0
CUST-BEH-00209,0.964,1.66,0.5893,0.1131,4,0,9,-0.0663,0.0931,0,0
CUST-BEH-00210,0.4353,26.12,0.523,0.2391,10,6,17,0.199,0.4744,0,5
CUST-BEH-00211,0.4798,19.49,0.4966,0.3348,8,9,23,0.3021,0.518,1,5
CUST-BEH-00212,0.6129,10.23,0.7544,0.1592,19,0,41,-0.1387,0.3878,0,1
CUST-BEH-00213,0.4872,32.02,0.5373,0.1851,9,1,34,0.0918,0.0912,2,4
CUST-BEH-00214,0.5792,15.44,0.5129,0.4024,40,5,71,0.0969,0.4143,1,3
CUST-BEH-00215,0.976,2.34,0.5133,0.634,1,6,33,0.2515,0.2496,2,0
CUST-BEH-00216,0.441,5.03,0.6369,0.1276,21,8,38,-0.0865,0.2185,0,1
CUST-BEH-00217,0.7139,32.47,0.5028,0.0615,26,10,54,0.4908,0.234,0,4
CUST-BEH-00218,0.4179,15.58,0.4969,0.0369,0,4,16,-0.3256,0.2015,0,1
CUST-BEH-00219,0.535,14.15,0.5459,0.1068,6,4,61,0.4946,0.4987,0,1
CUST-BEH-00220,0.6415,35.13,0.8512,0.6177,19,36,78,0.3201,0.4875,0,3
CUST-BEH-00221,0.6367,26.14,0.3865,0.428,0,1,7,0.0976,0.0852,0,3
CUST-BEH-00222,0.764,5.53,0.6059,0.3274,16,5,57,-0.2718,0.2758,1,1
CUST-BEH-00223,0.4406,18.07,0.4656,0.3638,42,25,71,0.1896,0.5344,0,5
CUST-BEH-00224,0.9585,0.92,0.7274,0.2706,10,12,40,-0.004,0.4052,0,0
CUST-BEH-00225,0.5249,13.44,0.2096,0.28,12,8,19,0.2427,0.4356,2,5
CUST-BEH-00226,0.5079,7.93,0.6812,0.3799,4,6,57,-0.0683,0.2372,0,1
CUST-BEH-00227,0.9012,0.62,0.6828,0.1689,8,6,14,0.2567,0.3215,0,0
CUST-BEH-00228,0.4472,13.38,0.2816,0.1526,2,1,5,0.295,0.4613,1,5
CUST-BEH-00229,0.6229,12.68,0.3526,0.2423,5,5,23,0.188,0.3573,2,1
CUST-BEH-00230,0.5855,23.4,0.2956,0.2046,17,9,27,0.2382,0.7303,0,5
CUST-BEH-00231,0.7214,6.6,0.599,0.1131,1,4,12,0.4648,0.1834,0,1
CUST-BEH-00232,0.4473,27.52,0.3925,0.3602,19,10,29,0.2827,0.4824,0,5
CUST-BEH-00233,0.9781,0.77,0.6986,0.3201,1,0,10,-0.235,0.3863,0,0
CUST-BEH-00234,0.8222,6.02,0.3072,0.1841,1,19,41,-0.3774,0.1657,0,1
CUST-BEH-00235,0.3374,9.48,0.3353,0.2452,0,3,66,-0.0998,0.0625,0,4
CUST-BEH-00236,0.9859,3.87,0.8025,0.216,41,38,80,0.389,0.0881,1,0
CUST-BEH-00237,0.8067,18.16,0.6412,0.531,0,4,37,0.427,0.1517,0,3
CUST-BEH-00238,0.4984,26.23,0.5692,0.3751,11,3,33,0.3298,0.1862,0,1
CUST-BEH-00239,0.6039,6.41,0.8161,0.0953,10,6,23,0.0646,0.2181,2,1
CUST-BEH-00240,0.4141,2.82,0.5062,0.1452,27,9,68,0.4904,0.1311,0,1
CUST-BEH-00241,0.4651,22.59,0.4306,0.1563,10,7,17,0.2851,0.6932,1,5
CUST-BEH-00242,0.6086,7.98,0.6349,0.654,16,18,65,-0.0831,0.0989,1,3
CUST-BEH-00243,0.3616,29.29,0.9611,0.178,32,18,60,-0.3777,0.0675,0,1
CUST-BEH-00244,0.3912,35.12,0.6735,0.5001,2,1,5,0.1647,0.1251,0,3
CUST-BEH-00245,0.7783,6.46,0.874,0.1669,6,2,34,0.1478,0.2494,0,1
CUST-BEH-00246,0.4911,17.34,0.8855,0.0811,28,33,74,-0.3183,0.1447,0,1
CUST-BEH-00247,0.9878,1.67,0.756,0.5002,14,9,36,0.3998,0.2149,0,0
CUST-BEH-00248,0.4378,11.1,0.7661,0.3581,7,1,71,-0.0386,0.0438,0,1
CUST-BEH-00249,0.9096,1.29,0.8337,0.2842,4,1,42,0.2782,0.4316,0,0
CUST-BEH-00250,0.6011,23.11,0.4006,0.3688,21,24,59,0.3421,0.6964,0,5
CUST-BEH-00251,0.9795,0.69,0.572,0.2323,1,1,66,-0.1237,0.2302,0,0
CUST-BEH-00252,0.5354,3.32,0.4669,0.3105,9,0,30,0.0196,0.1088,0,1
CUST-BEH-00253,0.6757,9.87,0.6761,0.4328,16,31,61,-0.1904,0.204,0,1
CUST-BEH-00254,0.4884,2.99,0.653,0.4148,9,35,77,0.2395,0.3843,0,3
CUST-BEH-00255,0.4829,6.8,0.5019,0.2868,8,18,42,0.3019,0.0418,0,1
CUST-BEH-00256,0.9566,3.5,0.729,0.07,5,5,11,-0.2044,0.242,0,0
CUST-BEH-00257,0.7099,10.51,0.7269,0.2427,0,1,3,0.4434,0.1086,1,1
CUST-BEH-00258,0.5894,25.4,0.3918,0.362,27,18,52,0.3234,0.7282,0,5
CUST-BEH-00259,0.5679,13.37,0.9139,0.1601,2,1,14,0.3538,0.3871,2,1
CUST-BEH-00260,0.9791,0.79,0.6743,0.0087,8,5,21,-0.1568,0.0965,0,0
CUST-BEH-00261,0.2277,22.56,0.7786,0.3924,10,11,49,0.0993,0.4044,1,4
CUST-BEH-00262,0.5049,18.2,0.87,0.1667,17,30,70,0.4996,0.1778,0,1
CUST-BEH-00263,0.6359,17.22,0.3118,0.6107,10,3,25,0.1879,0.0141,0,3
CUST-BEH-00264,0.5374,18.15,0.3155,0.1756,5,3,9,0.444,0.5008,2,5
CUST-BEH-00265,0.7671,17.48,0.7694,0.6546,8,3,16,-0.2084,0.2599,1,3
CUST-BEH-00266,0.8897,2.79,0.4573,0.2477,9,10,28,0.3202,0.1849,0,0
CUST-BEH-00267,0.8792,56.36,0.5208,0.0587,24,8,57,0.092,0.3431,0,4
CUST-BEH-00268,0.5584,13.99,0.7865,0.4615,24,20,47,0.4225,0.0776,2,3
CUST-BEH-00269,0.7164,6.56,0.9329,0.1516,32,30,62,0.4689,0.1341,0,1
CUST-BEH-00270,0.417,28.26,0.8596,0.1928,6,28,63,0.0339,0.2586,3,1
CUST-BEH-00271,0.5553,17.17,0.5427,0.3432,28,31,67,0.268,0.368,2,5
CUST-BEH-00272,0.5682,4.36,0.5397,0.3966,5,17,66,0.174,0.1552,0,1
CUST-BEH-00273,0.5304,8.12,0.8018,0.4905,29,1,56,-0.0932,0.5764,2,3
CUST-BEH-00274,0.2288,18.28,0.4426,0.2439,1,7,47,0.4475,0.2943,3,4
CUST-BEH-00275,0.4986,28.43,0.329,0.3463,7,3,16,0.0529,0.0774,0,1
CUST-BEH-00276,0.6956,47.94,0.6342,0.4388,14,27,51,-0.0635,0.1017,0,2
